id;external_id;type;main_currency;card_design_url;card_url;status;expiry_date;name
1;mobile partnerships;generate;exploit;iterate Shirt;Progressive Languedoc-Roussillon Hat;channels;2022-06-20;functionalities a
2;b e-tailers;wireless invoice overriding;deposit;engineer intuitive parse;optical Champagne-Ardenne Card;seize;2022-06-20;Pompe value-added Granite
3;Auvergne;Account c hub;Mauritius;Horizontal Future-proofed experiences;mobile generating responsive;Soap Grocery;2022-06-20;success Sports capacitor
4;quantify attitude-oriented Savings;Borders open-source e-business;Ingenieur;Mali didactic microchip;Oro core synthesizing;front-end;2022-06-20;Account
5;Chair;auxiliary withdrawal zero;lime deposit;Account;Shoes;transmitter Lebanese vertical;2022-06-21;protocol bricks-and-clicks port
6;Dauphine;compressing Montmorency Practical;input c;Practical a;asymmetric;c Ball;2022-06-21;invoice quantifying USB
7;Cedi Ergonomic Plastic;Ergonomic bypassing compelling;application Shirt mobile;envisioneer standardization;Keyboard;Fresh;2022-06-21;program
8;Games Loan;hacking Practical;b Suisse;Baby;purple;frame neural;2022-06-21;Coordinateur
9;bypass reinvent Paix;Adolphe;moderator;Ergonomic Hongrie;Avon;payment c;2022-06-20;hard a
10;Adaptive;systems Wooden a;Panoramas;b;Self-enabling next;responsive;2022-06-21;framework
