id;external_id;reference;payment_method_identifier;side;type;label;status;payment_id;counterparty;payment_product;external_reference
1;Champagne-Ardenne;Gorgeous;Chips Rhône-Alpes;B2B;b orchestrate du;cross-platform Garden;matrix Innovative;didactic Cotton Small;payment Zimbabwe;up;Re-contextualized multi-state withdrawal
2;scalable La;synthesizing cross-platform 4th;primary;Bedfordshire JBOD;deliver Delesseux Fantastic;Shirt;connecting synthesizing d’Ivoire;overriding Clothing full-range;invoice Soap connect;JSON;Berkshire Loire
3;Avon;parsing JBOD;holistic;Denar;applications Lek;silver deposit Account;Berkshire;Shilling deposit Ameliorated;Rustic Electronics;BEAC eyeballs;du
4;moderator synergies Botswana;best-of-breed c;capacitor local;software Charlemagne program;b hard Nam;object-oriented Rubber invoice;Moldovan line;B2C program;AI;application initiatives Persistent;b b
5;cross-platform c Borders;Kids Soft copy;indigo de Basse-Normandie;Chips;Rustic;1080p;database;Royaume-Uni driver Car;Sausages COM;Hryvnia feed Buckinghamshire;Fantastic c
6;b c;Gambie;index clicks-and-mortar Organic;responsive core Incredible;bandwidth background;even-keeled support Dalasi;Managed multi-byte blue;Avon Consultant;Card programming Awesome;Latvian;bypass Refined state
7;Loan Ergonomic;driver Games content;Music connecting;Soft Montmorency Finlande;Bacon AI artificial;needs-based ability;a;JSON;Switchable SDD;niches;Licensed Salad exploit
8;a customer Wooden;b;Borders Assistant;Granite protocol;payment Ergonomic;Kyat panel Bourgogne;Avon Granite;Pound Games Practical;protocol;back-end internet parsing;port Bedfordshire c
9;ivory Intuitive;Borders Ergonomic Coordinateur;Bedfordshire;recontextualize;vertical extensible;North;Reactive;Small Account withdrawal;équatoriale;c synthesize;a
10;Incredible tan;Technicien Architecte web-readiness;a;turquoise Handmade reboot;deposit CSS bypassing;c Fuerte;Frozen invoice;Franc;Berkshire HTTP;Credit dynamic;enterprise
