id;external_id;status;supporting_document_type;supporting_document_purpose
1;c Intelligent uniform;synthesizing customized;functionalities empower;compress Pataca ubiquitous
2;cross-platform override Fish;Self-enabling;Bacon;Lesotho hacking
3;auxiliary initiatives Home;bluetooth Metical Steel;initiative Clothing;Small
4;Buckinghamshire Account deploy;Managed;Guyane;b payment Bedfordshire
5;Île-de-France Handmade a;Nuevo;task-force bandwidth Car;Tools hacking
6;Mouse;invoice Cotton;sensor invoice;indigo Shoes
7;Metal Franche-Comté;reboot SMTP;24/7;pricing Keyboard feed
8;de Generic;Danemark strategy;Gourde;circuit plum
9;Handcrafted Midi-Pyrénées Market;Borders Kids deploy;Soft hour blue;de Soft IB
10;Small optimizing invoice;Berkshire;program Rubber SSL;Shirt
