id;external_id;reference;label;status
1;technologies Poitou-Charentes;bandwidth facilitate;a info-mediaries Account;Designer Ingenieur
2;Cotton SDD TCP;implement Cambridgeshire Ball;methodology B2C;Soft unleash
3;d'Alésia;Bike;paradigm iterate;Future-proofed withdrawal
4;Metal Specialiste Cordoba;wireless bypassing platforms;Swaziland a;driver conglomeration Account
5;Soft Rhône-Alpes Automotive;mindshare;Lesotho Pays-Bas;Card Handcrafted Technicien
6;Account digital;Table;Decentralized digital;firewall secondary
7;Manager a withdrawal;deposit cross-platform;Executif Distributed integrate;Plastic Jamaïque
8;purple Kuwaiti;Computers;Ingenieur;functionalities out-of-the-box
9;Diverse firmware Grèce;open-source Plastic a;GB Directeur;Cambridgeshire Handmade
10;Won cultivate Account;Ergonomic;Consultant;Sports
